Time, Date, Temperature, Humidity, Weather
2021-11-24 21:43:00,2021-11-24,19,73,Clear
2021-11-24 21:48:00,2021-11-24,19,73,Clear
2021-11-24 21:51:00,2021-11-24,19,73,Clear
2021-11-24 21:56:00,2021-11-24,19,73,Clear
2021-11-24 22:14:00,2021-11-24,18,73,Clear
2021-11-25 09:07:00,2021-11-25,21,62,Sunny
2021-11-25 09:14:00,2021-11-25,21,62,Sunny
2021-11-25 09:19:00,2021-11-25,21,62,Sunny
2021-11-25 17:14:00,2021-11-25,25,57,Clear
2021-11-27 11:29:00,2021-11-27,24,48,Sunny
2021-11-27 14:47:00,2021-11-27,26,40,Sunny
